site_ID,source,overlap,estimate_Ts,year_removed,NEE,FC,TA,TS,TS_more,SWC,SWC_more,SW_IN,USTAR,RH,VPD,comment,gStart,gEnd,SWC_use
IT-Noe,FLUXNET2015,,NO,"2004, 2011",,,,,,,,,,,,,,,NO
IT-Ren,FLUXNET2020_ICOS2020,,NO,"2000, 2001, 2004, 2015, 2020:2021, 2023",,,,,,,,,,,,,,,NO
IT-SRo,FLUXNET2015,,NO,"2005, 2008, 2009",,,,,,,,,,,,,,,NO
NL-Loo,FLUXNET2015,,NO,"1996, 1998, 2000:2001, 2013",,,,,,,,,,,,,,,YES
RU-Fyo,FLUXNET2020,,NO,"1998, 2002, 2010",,,,,,,,,,,,,,,YES
ZA-Kru,FLUXNET2015,,NO,"2000, 2006, 2013",,,,,,,,,,,,,,,YES
IT-Tor,FLUXNET2020,,NO,2008:2009,,,,,,,,,,,,,,,YES
BE-Dor,FLUXNET2020_ICOS2020,,NO,"2021, 2022",,,,,,,,,,,,,,270,YES
CH-Fru,FLUXNET2020,,NO,"2005, 2009",,,,,,,,,,,,,,,YES
CZ-RAJ,FLUXNET2020,,NO,,,,,,,,,,,,,,,,NO
CZ-Stn,FLUXNET2020,,NO,,,,,,,,,,,,,,,,YES
DE-Obe,FLUXNET2020,,NO,2018,,,,,,,,,,,,,,,YES
DE-RuR,FLUXNET2020,,NO,,,,,,,,,,,,,,,,YES
CH-Aws,FLUXNET2020,,NO,"2006:2010, 2012",,,,,,,,,,,,,100,,YES
ES-LJu,FLUXNET2020,,NO,"2004:2005, 2006, 2017, 2019",,,,,,,,,,,,,,270,YES
FR-FBn,FLUXNET2020_ICOS2020,,YES,"2017, 2018, 2020:2022",,,,,,,,,,,,,,,NO
FR-Fon,FLUXNET2020_ICOS2020,"bind_rows(a_2020[1:(nrow(a_2020)-35088),], a_after2020)",YES,"2014, 2017, 2019",,,,,,,,,,,,,,,NO
GF-Guy,FLUXNET2020,,NO,2012:2014,,,,,,,,,,,,,1,365,YES
IL-Yat,FLUXNET2020,,NO,"2000, 2010:2013",,,,,,,,,,,,,1,150,NO
SE-Deg,FLUXNET2020_ICOS2020,"bind_rows(a_2020[1:(nrow(a_2020)-35088),], a_after2020)",NO,"2003, 2012, 2019",,,,,,,,,,,,,,,YES
IT-SR2,FLUXNET2020_ICOS2020,"bind_rows(a_2020[1:(nrow(a_2020)-35088),], a_after2020)",NO,"2013, 2019",,,,,,,,,,,,,,270,YES
CH-Dav,FLUXNET2020_ICOS2020,"bind_rows(a_2020, a_after2020[35089:nrow(a_after2020), ])",NO,"2020, 2021",,,,,,,,,,,,,,,NO
AT-Neu,FLUXNET2025,,NO,,,,,,,,,,,,,,,,
DE-Akm,FLUXNET2025,,NO,,,,,,,,,,,,,,,,
DE-Hte,FLUXNET2025,,NO,,,,,,,,,,,,,,,,
