"siteID","year","RMSE_window","Rsquared_window","RMSE_base","Rsquared_base","RMSE_water","Rsquared_water","RMSE_gpp","Rsquared_gpp","RMSE_water_gpp","Rsquared_water_gpp","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"DE-RuR",2014,1.48711630606092,0.483624206327334,1.47505659235583,0.506413881144865,1.47450990081068,0.507776810635661,1.45004498951083,0.519729526716386,1.45329091653823,0.516244264463422,1.45210186371966,0.518094142365239,1.44987635643365,0.520361311191628,1.46083860783877,0.513755407675938,1.4670016482396,0.510084635086205,1.44485850359482,0.524378339588186,1.45250197251977,0.522191772653217,1.45284558829626,0.522288382117722,1.45692918859498,0.518868069888533,1.46429683591293,0.513373633802689
"DE-RuR",2016,2.40301435863541,0.5056250551774,2.30809816286719,0.544186966933594,2.30815005952021,0.544156431672836,2.30561892431577,0.545055641675394,2.30430856400182,0.545627109589138,2.30153877896197,0.546682288253036,2.30609835791007,0.544948437457553,2.30951920185778,0.543615178743472,2.31016865134835,0.543385359670918,2.31064047850027,0.543178149317775,2.31048993764024,0.5432283008444,2.31097666126834,0.543056598807175,2.31090149661522,0.543093240712581,2.31094510785275,0.543062806720666
"CH-Aws",2018,3.66748636696646,0.184980624019154,3.90497960036413,0.0803093491463951,3.91490353026408,0.0764190063652191,3.89904166785082,0.0805328048546163,3.91093681752718,0.0755710309187156,3.90367963698688,0.0782307834989077,3.89647335281172,0.0809354711984829,3.88864076972278,0.0836163854320776,3.87022441121115,0.0909509775902845,3.84448326852677,0.103737977879967,3.83974861672347,0.105621240070624,3.85656142181038,0.0979464878206608,3.88128949510301,0.0863041701969621,3.87370266506627,0.0887255072043993
"CH-Aws",2015,4.60746806555789,0.115978445209832,4.77110160229902,0.0528566429890711,4.76885150000426,0.0536633208261639,4.77720714490819,0.0504285254759028,4.77506479842819,0.0513226624192957,4.77559721799862,0.0511598018927044,4.77638779967537,0.0508578770118866,4.77627643525873,0.0509026132714885,4.7757192652358,0.0510075153653387,4.71395743571452,0.0750046852110093,4.71827556441739,0.073197743582841,4.72999562093837,0.0687380653043629,4.75180056059587,0.0600913916533373,4.75666334918227,0.0581932842795314
"ES-LJu",2014,0.540840670213706,0.300032070823427,0.597927927595492,0.1471071289522,0.599130062993719,0.14550596948823,0.598769444089625,0.144151245379411,0.600075881453421,0.141813682579257,0.599718601237748,0.141882650237625,0.597574462103303,0.146384156471366,0.58484859548817,0.181744019822803,0.570005012433053,0.223564832680755,0.599206863897423,0.143994333318153,0.596726594470285,0.151266144684478,0.59329845212963,0.161576505652368,0.588243389881847,0.17727839801808,0.580456361508589,0.20112833135127
"ES-LJu",2013,0.615781161211261,0.124169786693405,0.656721714042445,0.00409715063359802,0.649637032186406,0.029092861970779,0.657724421849068,0.00209400411743253,0.650333729086107,0.0255487233377715,0.65035313393325,0.0255604141047865,0.650201409423863,0.0263709727212046,0.649646328483503,0.029037453201758,0.64919685786407,0.030840291333513,0.649794628160403,0.0283818167827848,0.650009621036887,0.0272288599286492,0.650036107126396,0.0272766546790736,0.648683860765872,0.0323799151998142,0.640904269179237,0.0572760619184479
"GF-Guy",2004,5.9451664615887,0.0257762983727302,6.00571066706642,0.00542641267901973,6.00670262131113,0.00505909760188315,6.00777566133652,0.00476930915787093,6.00824178396272,0.00454349935925263,6.00858392853936,0.00443057204469416,6.00868283077821,0.0043981187268391,6.00887437324517,0.00433335003678153,6.008896723767,0.00432909890787365,6.00642827884895,0.00514269017122924,6.00668781600226,0.0050561012256901,6.00671168890992,0.00504834208699598,6.00759159626882,0.00475762750852846,6.00807019155378,0.00459969700775063
"GF-Guy",2009,5.84256042173808,0.0282071368294066,5.91566037544372,0.00329489352080987,5.91757953920584,0.00258403381292144,5.91756761170343,0.00266408722775626,5.91886879093423,0.00216645064618262,5.91937673455741,0.00200191355766769,5.91939075589069,0.00199775356478791,5.9194984009129,0.00195992474365195,5.91942648743803,0.00198789273517368,5.90982351877348,0.00519829337676124,5.91306196034039,0.0041103494860423,5.91293876550882,0.00414891900461537,5.9124060683791,0.00433406375235101,5.91063234127266,0.00493942248484483
"SE-Deg",2015,0.325550692592345,0.492348468202277,0.301896678165277,0.569015295819643,0.301428689485112,0.56995309840683,0.30275108254541,0.566872418408309,0.302292056250003,0.567818261064047,0.302148959848771,0.568247420073498,0.302092963027623,0.568265359502687,0.302025340770612,0.568549975123844,0.302009068032424,0.56888259972387,0.302137256063575,0.568169321081982,0.302118171863636,0.568391825104831,0.302151248170984,0.568266662466908,0.302134002290377,0.568351993860563,0.301994181054019,0.568688042854991
"IT-SR2",2023,2.87018235502042,0.338824255242718,2.93264743497142,0.313292790366832,2.85532955928463,0.346514798653943,2.93598799351765,0.311704694087418,2.8573322150861,0.345524056530007,2.85773158838562,0.345311905112146,2.8591642606676,0.344712572867398,2.85834877745638,0.345001252430648,2.85456299915381,0.346493122901938,2.85324886132497,0.347393499994136,2.85585601698326,0.346228991221997,2.85762353358573,0.345462392397515,2.85802670570024,0.345225313252287,2.85830631992353,0.345093900202859
