"scenario","replicate","total_est","total_se","direct_est","direct_se","apparent_est","apparent_se","total_true","direct_true","apparent_true","residual_true","hidden_true"
"Apparent only",38,0.0238387677632712,0.00523633097298881,0.00777053000172837,0.00789229075706554,0.0160682377615428,0.00725012017823991,0.0199,0,0.0199,0.0199,0
"Apparent only",39,0.0226775919139245,0.00544883903514369,-0.00161551379411766,0.00798243621188188,0.0242931057080422,0.00664732169890295,0.0199,0,0.0199,0.0199,0
"Apparent only",40,0.0158772012548231,0.00363926013469488,-0.0135905228419724,0.0104084095745456,0.0294677240967955,0.00949778957937967,0.0199,0,0.0199,0.0199,0
"Mixed identifiable",1,0.0505878265474351,0.00475399165795469,0.0303235019524627,0.0077096571392473,0.0202643245949724,0.00722245080145388,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",2,0.043515132250113,0.00414901710064839,0.0339750275653841,0.00668692532733205,0.00954010468472881,0.00487323281177814,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",3,0.0436020519823033,0.0043278889654795,0.0276545879816959,0.00806189213615224,0.0159474640006074,0.00597777580029706,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",4,0.0468239526983352,0.00477231419736855,0.0364420872462388,0.00988391957612304,0.0103818654520964,0.00790493019154246,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",5,0.0467928300267395,0.00465540857477022,0.0384336809924156,0.00584433572696421,0.00835914903432393,0.00466528918507198,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",6,0.0474252367458295,0.00415252709799849,0.0276108110789725,0.00574324755789453,0.019814425666857,0.0056144276131211,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",7,0.0435997850531438,0.00406056294608063,0.0179467492159268,0.00749436571184305,0.025653035837217,0.00555064053802621,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",8,0.0467675992226026,0.00418508342211226,0.0276970052661742,0.0067739814132301,0.0190705939564284,0.00585300150294737,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",9,0.0474597827175366,0.00413892540096256,0.049209722941782,0.00649372891915377,-0.00174994022424544,0.00489714976656047,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",10,0.0505812618359084,0.00575205782180479,0.0266741401067408,0.00809302218544674,0.0239071217291676,0.00668524685724334,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",11,0.0532305487066371,0.00499004161933047,0.0277598078432416,0.00959697634049413,0.0254707408633955,0.00674282147843073,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",12,0.0419243552876448,0.0049376908585565,0.03290085905614,0.00874451468986587,0.00902349623150489,0.00588607964996021,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",13,0.0375057104699765,0.00501161681947238,0.032065565754129,0.00825331257715565,0.00544014471584753,0.0065402983667053,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",14,0.0475329654542036,0.00434790021860813,0.0412858313663085,0.00566643906659669,0.00624713408789505,0.00466462308806654,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",15,0.051898842851266,0.00386937919886948,0.0334656971387254,0.0080310067485713,0.0184331457125405,0.00817213948324553,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",16,0.0437378542854511,0.00463132904208633,0.0394118544807607,0.0080043446450631,0.00432599980469035,0.00666330509387188,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",17,0.0539220677641927,0.00535579646911296,0.0475943224022779,0.00882800191578465,0.00632774536191479,0.00653850397500325,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",18,0.048333669155015,0.00470691815105242,0.0351211939955374,0.00781420545763956,0.0132124751594775,0.00582392707170982,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",19,0.0421140693915076,0.00421677007249853,0.0358784309650658,0.007388433164422,0.00623563842644179,0.00764669231136816,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",20,0.0507321257239809,0.00417740621651096,0.0490310505817387,0.00765575893901748,0.00170107514224225,0.00610790948253391,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",21,0.0414547190309854,0.00431368100991816,0.0249335281402828,0.00799552952483698,0.0165211908907026,0.00654338592000261,0.0449,0.03,0.0149,0.0149,0
"Mixed identifiable",22,0.0473076608581802,0.00439311707110285,0.0420671725246749,0.00827791202503651,0.0052404883335053,0.00614964517513534,0.0449,0.03,0.0149,0.0149,0
