site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,NEE,NEE_day,NEE_night,MATA,SSTA,IATA,DRTA,warm_rate,warm_ratep,EVI,NDVI,LAI,GPP,SOC,TAS_tot,TAS_totp,TAS,TASp,Tmin1,Tmin2,Tmin3,Tmin4,Tmin5,Tmin6,Tmin7,Tmin8,Tmin9,Tmin10,Tmin11,Tmin12,TS_TA,TSmin_c,TSmin_c_gs,NEE_night_mod_p,NEE_night_mod_f,NEE_night_mod_fa
US-MtB,32.416,-110.7256,2573,ENF,Csb,790,-509.163275,-742.8141989,233.6509238,9.842771843,6.890193328,0.411235262,5.565165781,0.011227665,0.760848651,0.286181942,0.540026465,1.478628417,0.710326835,5,-0.048609137,0.001699231,-0.021039846,0.164118622,0.608131874,0.969523811,0.217728925,0.40842489,1.100952363,0.848205149,1.220585823,1.54432261,1.612454295,1.965640855,0.885567808,0.879926741,1.037484708,1.060090215,1.113859801,1.838084742,1.904413474,1.804043095
US-LL1,31.2792,-84.5329,165,SAV,Cfa,1310,-203.9650578,-874.0615631,670.0965053,19.41596748,6.815460414,0.63693578,10.01652579,0.111187762,0.028307081,0.370377385,0.699037712,1.878460077,1.563649503,20,-0.007059348,0.427149961,0.010430154,0.178270351,1.580219841,1.179853392,1.396410179,1.00073278,1.50659256,1.252527571,1.704176331,1.442636991,1.773699355,1.517875457,2.462491131,1.501465297,0.938394833,1.432512957,1.207840495,4.241825823,4.627624026,4.588334025
US-BZB,64.6955,-148.3208,100,WET,Dfd,274,29.11585813,-144.8776304,173.9934886,-1.574725872,14.94706791,1.536777711,13.08265487,0.135225657,0.221006724,0.173610722,0.360845194,0.643543462,0.669770631,78,0.030300754,0.176906383,0.058980369,0.029469726,3.016556787,1.043663239,3.517362595,1.937582541,1.599194193,1.712894034,2.110915565,2.257655716,1.988717961,0.945933998,3.168498802,2.342564011,0.46447221,0.992481873,0.916152476,2.982861401,3.116431609,3.204156083
US-BZF,64.7013,-148.3121,95,WET,Dfd,274,56.14496591,-140.6517036,196.7966695,-1.211746038,14.84461837,1.507661206,12.10503178,0.121584523,0.264858602,0.195722752,0.389992774,0.851519518,0.752174907,91,-0.030223507,0.536094778,-0.011962384,0.812836836,3.016556787,1.043663239,3.517362595,1.937582541,1.599194193,1.712894034,2.110915565,2.257655716,1.988717961,0.945933998,3.168498802,2.342564011,0.49655028,1.061026132,1.039546132,4.498390581,4.83168793,4.68224242
US-KL2,42.4768,-85.4468,258.3,GRA,Dfa,1027,-263.1196683,-649.7999424,386.6802741,9.320215088,10.52969109,0.880711625,10.20397413,0.02279205,0.743210353,0.260549767,0.462824752,1.095055957,1.109078928,29,0.006091276,0.710329767,0.016436445,0.358277154,3.051355219,3.167765474,2.563150167,1.632014608,1.363516474,1.594871783,2.22725296,2.421904612,2.017289066,2.043296862,2.090915632,2.527985144,0.921068194,2.049477895,1.879788394,4.375560526,4.908549927,4.965077356
US-Ro4,44.6781,-93.0723,274,GRA,Dfa,879,-293.9898576,-568.2350687,274.2452111,7.601755691,11.9786687,1.495797157,11.51007716,0.184791451,0.210753143,0.258736246,0.412654827,1.057472189,0.95768717,87,0.003830034,0.793779167,-0.015914848,0.251688347,2.264468575,4.330769348,3.002490997,1.816703224,1.905640697,1.680879378,2.1746521,2.776703072,2.063589573,2.244615364,1.462857175,2.251575184,0.717290013,1.672179036,1.63720175,5.20668151,6.025656513,6.063559335
US-KM4,42.4423,-85.3301,246.3,GRA,Dfa,1027,-6.013849094,-526.5968662,520.5830171,9.198884433,10.44266836,0.969532712,10.70435516,0.049903146,0.534921292,0.297590963,0.480400747,1.200179167,1.118328526,370,-0.002762046,0.856273185,0.014307008,0.326676624,3.0130404,3.140219545,2.53897438,1.576923108,1.341611505,1.599120831,2.242344284,2.452234459,2.056043863,2.035530972,2.003223372,2.443003511,0.685344518,1.510172079,1.182317329,6.339868107,7.01015802,6.987302882
US-MBP,47.5051,-93.4893,416,WET,Dfb,780,-235.3531787,-300.8475863,65.49440761,4.245124638,12.55251,1.240341758,11.37204774,0.077872466,0.260760256,0.284089004,0.50153169,1.874804349,1.135360107,29,0.009631692,0.597309921,0.020511159,0.332544238,2.340659094,4.7994874,3.332967234,2.462490845,2.895091581,2.484762144,2.845274925,3.3139925,2.061172295,2.871868134,1.839047575,2.797142649,0.491611521,1.394700099,1.329449835,1.618047924,1.889157328,1.913503247
US-Myb,38.0499,-121.765,-4,WET,Csa,338,-345.4191716,-730.3748058,384.9556342,15.52827012,5.341119043,0.545486702,10.32626129,-0.027638561,0.617486091,0.344865318,0.571750549,1.545986834,1.632380504,29,0.005474645,0.904118078,-0.010038198,0.835440413,1.150036621,1.520732594,0.943882895,0.819633734,0.947692251,0.900952268,1.289230919,1.555457568,1.769084311,1.863809657,1.38974371,0.826080644,0.513290146,0.640600525,0.697141901,3.048431737,3.210729389,3.223006887
US-NC4,35.7879,-75.9038,1,WET,Cfa,1311,44.3801798,-770.5122855,814.8924653,17.03805014,7.827075402,0.64665654,7.710634506,0.070719303,0.206134606,0.355342464,0.712813163,2.150375785,1.945448321,250,0.082402336,0.000379329,0.080031801,0.000826093,1.608058548,1.394652057,1.590989089,1.049597263,0.798461449,0.775970066,1.537947845,1.22190485,1.576629639,1.200512624,2.233040428,1.666300344,0.637126421,0.884228693,0.772089585,6.745244318,6.901675503,7.355042953
